Category 12a,Content promoting eating disorders,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,
Category 12b,Self-mutilation,KEYWORD_SELF_MUTILATION,
Category 12c,Suicide,KEYWORD_SUICIDE,
Category 12d,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 13,"Unsafe, non-compliant or prohibited products ",STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,
Category 13a,Prohibited or restricted products,KEYWORD_PROHIBITED_PRODUCTS,
Category 13b,Unsafe or non-compliant products,KEYWORD_UNSAFE_PRODUCTS,
Category 13c,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 14,Violence ,STATEMENT_CATEGORY_VIOLENCE,
Category 14a,Coordinated harm,KEYWORD_COORDINATED_HARM,
Category 14b,General calls or incitement to violence and/or hatred,KEYWORD_INCITEMENT_VIOLENCE_HATRED,
Category 14c,Human exploitation,KEYWORD_HUMAN_EXPLOITATION,
Category 14d,Human trafficking,KEYWORD_HUMAN_TRAFFICKING,
Category 14e,Trafficking in women and girls,KEYWORD_TRAFFICKING_WOMEN_GIRLS,
Category 14f,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 15,Other violation of provider’s terms and conditions,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,
Category 15a,Adult sexual material,KEYWORD_ADULT_SEXUAL_MATERIAL,
Category 15b,Age-specific restrictions,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,
Category 15c,Geographical requirements,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,
Category 15d,Goods/services not permitted to be offered on the platform,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,
Category 15e,Language requirements,KEYWORD_LANGUAGE_REQUIREMENTS,
Category 15f,Nudity,KEYWORD_NUDITY,
Category 15g,Not captured by any other sub-category  ,KEYWORD_OTHER,
Category 16,Type of illegal content not specified by the public authority,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,
Category 17,Type of alleged illegal content not specified by the notifier,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,
